2.20.0  Good Times Bad Times
2.19.0  What Is and What Should Never Be
2.18.0  Fool in the Rain
2.17.0  Gallows Pole
2.16.0  All My Love
2.15.0  Ten Years Gone
2.14.0  C'mon Everybody
2.13.0  Nobody's Fault but Mine
2.12.0  Dazed and Confused
2.11.0  Hey Hey, What Can I Do
2.10.0  When the Levee Breaks
2.9.0   Immigrant Song
2.8.0   How Many More Times
2.7.0   In the Light
2.6.0   Heartbreaker
2.5.0   Kashmir
2.4.0   Dancing Days
2.3.0   Ramble On
2.2.0   The Battle of Evermore
2.1.0   The Song Remains the Same
2.0.0   Over the Hills and Far Away
